Rtg.,Vwrs.,Game,Conf.,Time,Net,Away,Home,Notes
—,2.425M,N’WesternPittsburgh,Pinstripe Bowl,2:00 PM,ESPN,,,
"Thursday, December 29","Thursday, December 29","Thursday, December 29","Thursday, December 29","Thursday, December 29","Thursday, December 29",,,
2.9,4.963M,Va. TechArkansas,Belk Bowl,5:42 PM,ESPN,,,
2.6,4.551M,Okla. St.Colorado,Alamo Bowl,9:32 PM,ESPN,,,
—,2.308M,USFS. Carolina,Birminghm. Bowl,2:00 PM,ESPN,,,
"Friday, December 30","Friday, December 30","Friday, December 30","Friday, December 30","Friday, December 30","Friday, December 30",,,
6.2,11.461M,FSUMichigan,Orange Bowl,8:11 PM,ESPN,,,
3.1,5.026M,TennesseeNebraska,Music City Bowl,3:30 PM,ESPN,,,
—,3.128M,GeorgiaTCU,Liberty Bowl,12:00 PM,ESPN,,,
1.9,2.926M,StanfordUNC,Sun Bowl,2:00 PM,CBS,,,
"Saturday, December 31","Saturday, December 31","Saturday, December 31","Saturday, December 31","Saturday, December 31","Saturday, December 31",,,
10.7,19.344M,AlabamaWashington,Peach Bowl,3:12 PM,ESPNESPN2,,,
9.8,19.237M,ClemsonOhio State,Fiesta Bowl,7:10 PM,ESPNESPN2,,,
3.9,6.390M,LSULouisville,Citrus Bowl,11:01 AM,ABC,,,
1.6,2.647M,Ga. TechKentucky,Gator Bowl,11:00 AM,ESPN,,,
"Numbers from ShowBuzz Daily [1], [2], [3], [4], [5], [6], Programming Insider","Numbers from ShowBuzz Daily [1], [2], [3], [4], [5], [6], Programming Insider","Numbers from ShowBuzz Daily [1], [2], [3], [4], [5], [6], Programming Insider","Numbers from ShowBuzz Daily [1], [2], [3], [4], [5], [6], Programming Insider","Numbers from ShowBuzz Daily [1], [2], [3], [4], [5], [6], Programming Insider","Numbers from ShowBuzz Daily [1], [2], [3], [4], [5], [6], Programming Insider",,,
BOWL WEEK 2,BOWL WEEK 2,BOWL WEEK 2,BOWL WEEK 2,BOWL WEEK 2,BOWL WEEK 2,,,
"Monday, December 19","Monday, December 19","Monday, December 19","Monday, December 19","Monday, December 19","Monday, December 19",,,
—,794K,TulsaCMU,M. Beach Bowl,2:25 PM,ESPN,,,
"Tuesday, December 20","Tuesday, December 20","Tuesday, December 20","Tuesday, December 20","Tuesday, December 20","Tuesday, December 20",,,
—,1.581M,WKUMemphis,Boca Bowl,7:00 PM,ESPN,,,
"Wednesday, December 21","Wednesday, December 21","Wednesday, December 21","Wednesday, December 21","Wednesday, December 21","Wednesday, December 21",,,
—,2.380M,BYUWyoming,Poinsettia Bowl,9:16 PM,ESPN,,,
"Thursday, December 22","Thursday, December 22","Thursday, December 22","Thursday, December 22","Thursday, December 22","Thursday, December 22",,,
—,1.143M,IdahoColorado St.,Potato Bowl,7:00 PM,ESPN,,,
"Friday, December 23","Friday, December 23","Friday, December 23","Friday, December 23","Friday, December 23","Friday, December 23",,,
—,2.512M,OhioTroy,Mobile Bowl,8:10 PM,ESPN,,,
—,2.341M,La. TechNavy,A. Forces Bowl,4:30 PM,ESPN,,,
—,1.371M,ODUE. Michigan,Bahamas Bowl,1:00 PM,ESPN,,,
"Saturday, December 24","Saturday, December 24","Saturday, December 24","Saturday, December 24","Saturday, December 24","Saturday, December 24",,,
0.7,1.359M,HawaiiMTSU,Hawaii Bowl,8:00 PM,ESPN,,,
"Numbers from ShowBuzz Daily [1], [2], [3], [4], [5]","Numbers from ShowBuzz Daily [1], [2], [3], [4], [5]","Numbers from ShowBuzz Daily [1], [2], [3], [4], [5]","Numbers from ShowBuzz Daily [1], [2], [3], [4], [5]","Numbers from ShowBuzz Daily [1], [2], [3], [4], [5]","Numbers from ShowBuzz Daily [1], [2], [3], [4], [5]",,,
BOWL WEEK 1,BOWL WEEK 1,BOWL WEEK 1,BOWL WEEK 1,BOWL WEEK 1,BOWL WEEK 1,,,
"Friday, December 16","Friday, December 16","Friday, December 16","Friday, December 16","Friday, December 16","Friday, December 16",,,
—,1.065M,JMUNDSU,FCS semis,7:00 PM,ESPN2,,,
—,340K,Mry Hrdn-BaylorUW-Oshkosh,D-III Champ.,7:00 PM,ESPNU,,,
"Saturday, December 17","Saturday, December 17","Saturday, December 17","Saturday, December 17","Saturday, December 17","Saturday, December 17",,,
2.4,3.744M,SDSUHouston,Vegas Bowl,3:49 PM,ABC,,,
1.8,2.711M,GramblingN.C. Central,Celeb. Bowl,12:01 PM,ABC,,,
0.9,1.483M,App. StateToledo,Camellia Bowl,5:30 PM,ESPN,,,
0.9,1.391M,New MexicoUTSA,N. Mexico Bowl,2:09 PM,ESPN,,,
0.9,1.335M,Southern MissUL-Lafayette,N. Orlns. Bowl,9:05 PM,ESPN,,,
0.5,790K,NW Missouri St.North Alabama,D-II Champ.,4:00 PM,ESPN2,,,
—,457K,E. WashingtonYoungstown St.,FCS semis,6:30 PM,ESPNU,,,
"Numbers from ShowBuzz Daily [1], [2], [3]","Numbers from ShowBuzz Daily [1], [2], [3]","Numbers from ShowBuzz Daily [1], [2], [3]","Numbers from ShowBuzz Daily [1], [2], [3]","Numbers from ShowBuzz Daily [1], [2], [3]","Numbers from ShowBuzz Daily [1], [2], [3]",,,
WEEK FIFTEEN,WEEK FIFTEEN,WEEK FIFTEEN,WEEK FIFTEEN,WEEK FIFTEEN,WEEK FIFTEEN,,,
"Friday, December 9","Friday, December 9","Friday, December 9","Friday, December 9","Friday, December 9","Friday, December 9",,,
—,509K,Sam Houston St.JMU,FCS qtrs,7:00 PM,ESPN2,,,
"Saturday, December 10","Saturday, December 10","Saturday, December 10","Saturday, December 10","Saturday, December 10","Saturday, December 10",,,
5.0,7.940M,ArmyNavy,Ind.American,2:57 PM,CBS,,,
1.6,2.638M,Heisman TrophyPresentation,Heisman TrophyPresentation,8:00 PM,ESPN,,,
1.3,1.984M,South Dakota St.North Dakota St.,FCS qtrs,7:00 PM,ESPN,,,
"Week fifteen numbers from ShowBuzz Daily [1], [2], [3]","Week fifteen numbers from ShowBuzz Daily [1], [2], [3]","Week fifteen numbers from ShowBuzz Daily [1], [2], [3]","Week fifteen numbers from ShowBuzz Daily [1], [2], [3]","Week fifteen numbers from ShowBuzz Daily [1], [2], [3]","Week fifteen numbers from ShowBuzz Daily [1], [2], [3]",,,
WEEK FOURTEEN,WEEK FOURTEEN,WEEK FOURTEEN,WEEK FOURTEEN,WEEK FOURTEEN,WEEK FOURTEEN,,,
"Tuesday, November 29","Tuesday, November 29","Tuesday, November 29","Tuesday, November 29","Tuesday, November 29","Tuesday, November 29",,,
—,1.188M,CFP Rankings Show,CFP Rankings Show,7:00 PM,ESPN,,,
"Friday, December 2","Friday, December 2","Friday, December 2","Friday, December 2","Friday, December 2","Friday, December 2",,,
3.4,5.671M,WashingtonColorado,Pac-12 Champ.,9:00 PM,FOX,,,
—,1.358M,W. MichiganOhio,MAC Champ.,6:54 PM,ESPN2,,,
"Saturday, December 3","Saturday, December 3","Saturday, December 3","Saturday, December 3","Saturday, December 3","Saturday, December 3",,,
6.6,11.093M,AlabamaFlorida,SEC Champ.,4:00 PM,CBS,,,
5.3,9.189M,Penn StateWisconsin,B1G Champ.,8:18 PM,FOX,,,
3.3,5.338M,ClemsonVa. Tech,ACC Champ.,8:07 PM,ABC,,,
3.1,4.817M,OklahomaOklahoma St.,Big 12,12:36 PM,FOX,,,
1.4,2.050M,TempleNavy,AAC Champ.,12:01 PM,ABC,,,
0.6,1.011M,BaylorW. Virginia,Big 12,3:29 PM,FS1,,,
0.6,926K,WKULa. Tech,C-USA Champ.,12:01 PM,ESPN,,,
0.4,713K,SDSUWyoming,MWC Champ.,7:43 PM,ESPN,,,
0.3,431K,K-StateTCU,Big 12,12:00 PM,FS1,,,
0.2,269K,TroyGa. Southern,Sun Belt,12:00 PM,ESPN2,,,
0.15,228K,Ark. StateTexas State,Sun Belt,7:30 PM,ESPN2,,,
—,160K,GramblingAlcorn St.,SWAC Champ.,4:04 PM,ESPNU,,,
"Sunday, December 4","Sunday, December 4","Sunday, December 4","Sunday, December 4","Sunday, December 4","Sunday, December 4",,,
—,1.328M,CFP Selection Show(all four hours),CFP Selection Show(all four hours),12:00 PM,ESPN,,,
"Week fourteen numbers from ShowBuzz Daily, Fox Sports, CBS Sports, Sports TV Ratings [1], [2]","Week fourteen numbers from ShowBuzz Daily, Fox Sports, CBS Sports, Sports TV Ratings [1], [2]","Week fourteen numbers from ShowBuzz Daily, Fox Sports, CBS Sports, Sports TV Ratings [1], [2]","Week fourteen numbers from ShowBuzz Daily, Fox Sports, CBS Sports, Sports TV Ratings [1], [2]","Week fourteen numbers from ShowBuzz Daily, Fox Sports, CBS Sports, Sports TV Ratings [1], [2]","Week fourteen numbers from ShowBuzz Daily, Fox Sports, CBS Sports, Sports TV Ratings [1], [2]",,,
WEEK THIRTEEN,WEEK THIRTEEN,WEEK THIRTEEN,WEEK THIRTEEN,WEEK THIRTEEN,WEEK THIRTEEN,,,
"Tuesday, November 22","Tuesday, November 22","Tuesday, November 22","Tuesday, November 22","Tuesday, November 22","Tuesday, November 22",,,
—,991K,CFP Rankings Show,CFP Rankings Show,7:00 PM,ESPN,,,
—,277K,AkronOhio,MAC,7:00 PM,ESPNU,,,
"Thursday, November 24","Thursday, November 24","Thursday, November 24","Thursday, November 24","Thursday, November 24","Thursday, November 24",,,
1.3,2.774M,LSUTexas A&M,SEC,7:25 PM,ESPN,,,
"Friday, November 25","Friday, November 25","Friday, November 25","Friday, November 25","Friday, November 25","Friday, November 25",,,
2.4,4.169M,NebraskaIowa,Big Ten,4:02 PM,ABC,,,
1.9,3.093M,HoustonMemphis,American,12:00 PM,ABC,,,
1.7,2.818M,WashingtonWash. St.,Pac-12,3:36 PM,FOX,,,
1.5,2.498M,ArkansasMissouri,SEC,2:30 PM,CBS,,,
—,1.787M,BaylorTexas Tech,Big 12,5:56 PM,ESPN,,,
1.0,1.672M,Arizona St.Arizona,Pac-12,10:08 PM,ESPN,,,
—,1.384M,N.C. StateUNC,ACC,12:00 PM,ESPN,,,
—,986K,TCUTexas,Big 12,3:29 PM,FS1,,,
0.4,665K,ToledoW. Michigan,MAC,5:16 PM,ESPN2,,,
—,526K,CincinnatiTulsa,American,8:53 PM,ESPN2,,,
"Saturday, November 26","Saturday, November 26","Saturday, November 26","Saturday, November 26","Saturday, November 26","Saturday, November 26",,,
9.4,16.841M,MichiganOhio State,Big Ten,12:01 PM,ABC,,,
4.5,8.242M,AuburnAlabama,SEC,3:30 PM,CBS,,,
3.6,6.437M,FloridaFSU,SECACC,8:06 PM,ABC,,,
3.4,5.695M,Notre DameUSC,IndPac-12,4:11 PM,ABC,,,
2.0,3.715M,Michigan St.Penn State,Big Ten,3:39 PM,ESPN,,,
1.7,3.060M,UtahColorado,Pac-12,7:35 PM,FOX,,,
1.5,2.656M,S. CarolinaClemson,SECACC,7:30 PM,ESPN,,,
—,2.614M,College GamedayFrom Ohio State,College GamedayFrom Ohio State,9:00 AM,ESPN,,,
0.9,1.564M,KentuckyLouisville,SECACC,12:00 PM,ESPN,,,
—,862K,College GamedayBonus coverage (7-9 AM),College GamedayBonus coverage (7-9 AM),7:00 AM,ESPN,,,
0.3,594K,W. VirginiaIowa St.,Big 12,3:37 PM,FS1,,,
0.4,579K,UCLACal,Pac-12,7:06 PM,ESPN2,,,
0.3,505K,DukeMiami,ACC,3:31 PM,ESPN2,,,
0.3,453K,VirginiaVa. Tech,ACC,12:00 PM,ESPN2,,,
0.2,333K,WyomingNew Mexico,MWC,10:22 PM,ESPN2,,,
—,320K,Utah StateBYU,MWCInd.,10:25 PM,ESPNU,,,
0.2,264K,KansasK-State,Big 12,11:59 AM,FS1,,,
0.1,200K,GramblingSouthern,SWAC,5:00 PM,NBCSN,,,
—,181K,PurdueIndiana,Big Ten,12:00 PM,ESPNU,,,
—,133K,WKUMarshall,C-USA,7:00 PM,ESPNU,,,
—,121K,NavySMU,American,3:41 PM,ESPNU,,,
—,4K,FAUMid. Tenn.,C-USA,5:30 PM,beIN,,,
"Week thirteen numbers from ShowBuzz Daily, Programming Insider [1], [2], Sports TV Ratings [1], [2], [3], [4]","Week thirteen numbers from ShowBuzz Daily, Programming Insider [1], [2], Sports TV Ratings [1], [2], [3], [4]","Week thirteen numbers from ShowBuzz Daily, Programming Insider [1], [2], Sports TV Ratings [1], [2], [3], [4]","Week thirteen numbers from ShowBuzz Daily, Programming Insider [1], [2], Sports TV Ratings [1], [2], [3], [4]","Week thirteen numbers from ShowBuzz Daily, Programming Insider [1], [2], Sports TV Ratings [1], [2], [3], [4]","Week thirteen numbers from ShowBuzz Daily, Programming Insider [1], [2], Sports TV Ratings [1], [2], [3], [4]",,,
WEEK TWELVE,WEEK TWELVE,WEEK TWELVE,WEEK TWELVE,WEEK TWELVE,WEEK TWELVE,,,
"Tuesday, November 15","Tuesday, November 15","Tuesday, November 15","Tuesday, November 15","Tuesday, November 15","Tuesday, November 15",,,
1.7,2.651M,CFP Rankings Show,CFP Rankings Show,9:12 PM,ESPN,,,
—,386K,OhioC. Michigan,MAC,7:00 PM,ESPN2,,,
—,74K,Kent StateBowl. Green,MAC,7:00 PM,ESPNU,,,
"Wednesday, November 16","Wednesday, November 16","Wednesday, November 16","Wednesday, November 16","Wednesday, November 16","Wednesday, November 16",,,
—,423K,Ball StateToledo,MAC,7:00 PM,ESPN2,,,
—,135K,N. IllinoisE. Michigan,MAC,8:17 PM,ESPNU,,,
"Thursday, November 17","Thursday, November 17","Thursday, November 17","Thursday, November 17","Thursday, November 17","Thursday, November 17",,,
1.5,2.432M,LouisvilleHouston,ACCAmerican,7:55 PM,ESPN,,,
—,109K,Ark. StateTroy,Sun Belt,9:30 PM,ESPNU,,,
"Friday, November 18","Friday, November 18","Friday, November 18","Friday, November 18","Friday, November 18","Friday, November 18",,,
0.5,763K,UNLVBoise State,MWC,9:00 PM,ESPN2,,,
"Saturday, November 19","Saturday, November 19","Saturday, November 19","Saturday, November 19","Saturday, November 19","Saturday, November 19",,,
3.7,5.843M,Ohio StateMichigan State,Big Ten,12:00 PM,ESPN,,,
2.9,4.769M,IndianaMichigan,Big Ten,3:30 PM,ESPN,,,
2.3,3.825M,Oklahoma St.W. Virginia,Big 12,8:07 PM,ABC,,,
1.7,2.568M,FSU/SYR orTEX/KAN,ACCBig 12,3:30 PM,ABC,,,
1.5,2.453M,MissouriTennessee,SEC,3:30 PM,CBS,,,
1.5,2.449M,Va. TechNotre Dame,ACCInd.,3:47 PM,NBC,,,
1.5,2.437M,ChattanoogaAlabama,FCSSEC,7:22 PM,ESPN2,,,
1.4,2.301M,USCUCLA,Pac-12,10:30 PM,ESPN,,,
1.3,2.181M,Arizona St.Washington,Pac-12,7:40 PM,FOX,,,
1.3,2.114M,Wash. St.Colorado,Pac-12,3:36 PM,FOX,,,
—,2.082M,College GamedayFrom WMU,College GamedayFrom WMU,9:00 AM,ESPN,,,
1.2,2.076M,ClemsonWake Forest,ACC,7:00 PM,ESPN,,,
1.3,1.850M,WisconsinPurdue,Big Ten,12:01 PM,ABC,,,
—,715K,ArkansasMississippi St.,SEC,6:59 PM,ESPNU,,,
0.3,544K,K-StateBaylor,Big 12,12:00 PM,ESPN2,,,
0.3,514K,New MexicoColorado St.,MWC,10:15 PM,ESPN2,,,
0.3,508K,Oklahoma St.TCU,Big 12,11:59 AM,FS1,,,
0.3,441K,ABC reverse mirror,ABC reverse mirror,3:33 PM,ESPN2,,,
0.2,346K,Texas TechIowa State,Big 12,3:28 PM,FS1,,,
—,277K,UTSATexas A&M,C-USASEC,12:00 PM,ESPNU,,,
—,187K,BuffaloW. Michigan,MAC,3:30 PM,ESPNU,,,
—,12K,So. MissNo. Texas,C-USA,5:30 PM,beIN,,,
"Week twelve numbers from ShowBuzz Daily, Programming Insider [1], [2], [3], Sports TV Ratings [1], [2], [3], [4]","Week twelve numbers from ShowBuzz Daily, Programming Insider [1], [2], [3], Sports TV Ratings [1], [2], [3], [4]","Week twelve numbers from ShowBuzz Daily, Programming Insider [1], [2], [3], Sports TV Ratings [1], [2], [3], [4]","Week twelve numbers from ShowBuzz Daily, Programming Insider [1], [2], [3], Sports TV Ratings [1], [2], [3], [4]","Week twelve numbers from ShowBuzz Daily, Programming Insider [1], [2], [3], Sports TV Ratings [1], [2], [3], [4]","Week twelve numbers from ShowBuzz Daily, Programming Insider [1], [2], [3], Sports TV Ratings [1], [2], [3], [4]",,,
WEEK ELEVEN,WEEK ELEVEN,WEEK ELEVEN,WEEK ELEVEN,WEEK ELEVEN,WEEK ELEVEN,,,
"Tuesday, November 8","Tuesday, November 8","Tuesday, November 8","Tuesday, November 8","Tuesday, November 8","Tuesday, November 8",,,
—,696K,CFP Rankings Show,CFP Rankings Show,7:00 PM,ESPN,,,
—,487K,W. MichiganKent St.,MAC,7:30 PM,ESPN2,,,
"Wednesday, November 9","Wednesday, November 9","Wednesday, November 9","Wednesday, November 9","Wednesday, November 9","Wednesday, November 9",,,
—,446K,ToledoN. Illinois,MAC,8:00 PM,ESPN2,,,
—,98K,Bowling GreenAkron,MAC,8:21 PM,ESPNU,,,
"Thursday, November 10","Thursday, November 10","Thursday, November 10","Thursday, November 10","Thursday, November 10","Thursday, November 10",,,
—,1.551M,UNCDuke,ACC,7:24 PM,ESPN,,,
0.3,512K,UtahArizona St.,Pac-12,9:29 PM,FS1,,,
—,70K,UL-LafayetteGa. Southern,Sun Belt,7:30 PM,ESPNU,,,
"Friday, November 11","Friday, November 11","Friday, November 11","Friday, November 11","Friday, November 11","Friday, November 11",,,
—,1.152M,Bos. CollegeFSU,ACC,7:25 PM,ESPN2,,,
"Saturday, November 12","Saturday, November 12","Saturday, November 12","Saturday, November 12","Saturday, November 12","Saturday, November 12",,,
3.8,6.442M,MichiganIowa,Big Ten,8:06 PM,ABC,,,
2.9,4.992M,AuburnGeorgia,SEC,3:37 PM,CBS,,,
3.0,4.926M,PittsburghClemson,ACC,3:48 PM,ABC,,,
2.5,4.301M,USCWashington,Pac-12,7:36 PM,FOX,,,
2.4,3.751M,PSU/IND orBAY/OKLA,Big TenBig 12,12:01 PM,ABC,,,
2.0,3.257M,Miss. St.Alabama,SEC,12:01 PM,ESPN,,,
1.5,2.450M,S. CarolinaFlorida,SEC,12:00 PM,CBS,,,
1.4,2.351M,LSUArkansas,SEC,7:05 PM,ESPN,,,
1.45,2.291M,Ohio StateMaryland,Big Ten,3:30 PM,ESPN,,,
—,1.870M,College GamedayLive from Seattle,College GamedayLive from Seattle,9:00 AM,ESPN,,,
1.0,1.515M,ArmyNotre Dame,Ind.,3:45 PM,NBC,,,
0.7,1.269M,West VirginiaTexas,Big 12,12:00 PM,FS1,,,
0.7,1.005M,CalWash. St.,Pac-12,10:32 PM,ESPN,,,
0.6,986K,Wake ForestLouisville,ACC,7:00 PM,ESPN2,,,
0.6,901K,Texas TechOkla. St.,Big 12,3:52 PM,FS1,,,
0.5,811K,IllinoisWisconsin,Big Ten,3:30 PM,ESPN2,,,
0.3,512K,ABC reverse mirror,ABC reverse mirror,12:00 PM,ESPN2,,,
—,377K,Ga. TechVa. Tech,ACC,3:29 PM,ESPNU,,,
0.2,374K,ColoradoArizona,Pac-12,10:00 PM,FS1,,,
0.2,268K,New MexicoUtah State,MWC,10:31 PM,ESPN2,,,
—,169K,USFMemphis,American,7:00 PM,ESPNU,,,
—,128K,Colorado St.Air Force,MWC,10:42 PM,ESPNU,,,
—,112K,CincinnatiUCF,American,12:00 PM,ESPNU,,,
"Week eleven numbers from ShowBuzz Daily, Programming Insider, Sports TV Ratings [1], [2], [3], [4], [5]","Week eleven numbers from ShowBuzz Daily, Programming Insider, Sports TV Ratings [1], [2], [3], [4], [5]","Week eleven numbers from ShowBuzz Daily, Programming Insider, Sports TV Ratings [1], [2], [3], [4], [5]","Week eleven numbers from ShowBuzz Daily, Programming Insider, Sports TV Ratings [1], [2], [3], [4], [5]","Week eleven numbers from ShowBuzz Daily, Programming Insider, Sports TV Ratings [1], [2], [3], [4], [5]","Week eleven numbers from ShowBuzz Daily, Programming Insider, Sports TV Ratings [1], [2], [3], [4], [5]",,,
WEEK TEN,WEEK TEN,WEEK TEN,WEEK TEN,WEEK TEN,WEEK TEN,,,
"Tuesday, November 1","Tuesday, November 1","Tuesday, November 1","Tuesday, November 1","Tuesday, November 1","Tuesday, November 1",,,
—,981K,CFP Rankings Show,CFP Rankings Show,7:00 PM,ESPN,,,
—,321K,W. MichiganBall St.,MAC,8:00 PM,ESPN2,,,
—,46K,BGSUN. Illinois,MAC,8:00 PM,ESPNU,,,
"Wednesday, November 2","Wednesday, November 2","Wednesday, November 2","Wednesday, November 2","Wednesday, November 2","Wednesday, November 2",,,
—,217K,ToledoAkron,MAC,7:30 PM,ESPN2,,,
"Thursday, November 3","Thursday, November 3","Thursday, November 3","Thursday, November 3","Thursday, November 3","Thursday, November 3",,,
—,1.399M,OklahomaIowa St.,Big 12,7:26 PM,ESPN,,,
—,536K,UCLAColorado,Pac-12,8:59 PM,FS1,,,
—,82K,Ark. StateGeorgia St.,Sun Belt,7:30 PM,ESPNU,,,
"Friday, November 4","Friday, November 4","Friday, November 4","Friday, November 4","Friday, November 4","Friday, November 4",,,
0.4,658K,SJSUBoise St.,MWC,10:17 PM,ESPN2,,,
—,523K,TempleUConn,American,7:00 PM,ESPN2,,,
"Saturday, November 5","Saturday, November 5","Saturday, November 5","Saturday, November 5","Saturday, November 5","Saturday, November 5",,,
5.8,10.385M,AlabamaLSU,SEC,8:00 PM,CBS,,,
2.8,4.969M,NebraskaOhio St.,Big Ten,8:07 PM,ABC,,,
2.6,4.261M,FloridaArkansas,SEC,3:30 PM,CBS,,,
1.7,2.595M,SYR/CLEM or OKST/KST,ACCBig12,3:30 PM,ABC,,,
1.6,2.420M,Notre DameNavy,Ind.American,11:30 AM,CBS,,,
1.6,2.397M,WisconsinN’Western,Big Ten,12:00 PM,ABC,,,
1.5,2.320M,MarylandMichigan,Big Ten,3:30 PM,ESPN,,,
1.3,2.057M,VanderbiltAuburn,SEC,12:00 PM,ESPN,,,
1.2,2.007M,WashingtonCal,Pac-12,10:38 PM,ESPN,,,
—,1.623M,College GamedayLive from Baton Rouge,College GamedayLive from Baton Rouge,9:00 AM,ESPN,,,
0.9,1.477M,OregonUSC,Pac-12,6:59 PM,ESPN,,,
0.9,1.365M,TCUBaylor,Big 12,3:36 PM,FOX,,,
0.65,1.051M,TexasTexas Tech,Big 12,12:00 PM,FS1,,,
—,828K,FSUN.C. State,ACC,7:00 PM,ESPNU,,,
0.4,827K,KansasW. Virginia,Big 12,7:05 PM,ESPN2,,,
0.4,653K,LouisvilleBoston College,ACC,12:00 PM,ESPN2,,,
0.4,592K,Oregon St.Stanford,Pac-12,4:20 PM,FS1,,,
0.3,451K,ABC reverse mirror,ABC reverse mirror,3:30 PM,ESPN2,,,
—,338K,Va. TechDuke,ACC,3:29 PM,ESPNU,,,
0.2,325K,Utah St.Wyoming,MWC,10:47 PM,ESPN2,,,
—,209K,Ga. SouthernMississippi,Sun BeltSEC,12:00 PM,ESPNU,,,
—,2K,FIUWKU,C-USA,5:30 PM,beIN,,,
"Week ten numbers from ShowBuzz Daily, Programming Insider, Sports TV Ratings [1], [2], [3], [4], [5]","Week ten numbers from ShowBuzz Daily, Programming Insider, Sports TV Ratings [1], [2], [3], [4], [5]","Week ten numbers from ShowBuzz Daily, Programming Insider, Sports TV Ratings [1], [2], [3], [4], [5]","Week ten numbers from ShowBuzz Daily, Programming Insider, Sports TV Ratings [1], [2], [3], [4], [5]","Week ten numbers from ShowBuzz Daily, Programming Insider, Sports TV Ratings [1], [2], [3], [4], [5]","Week ten numbers from ShowBuzz Daily, Programming Insider, Sports TV Ratings [1], [2], [3], [4], [5]",,,
WEEK NINE,WEEK NINE,WEEK NINE,WEEK NINE,WEEK NINE,WEEK NINE,,,
"Thursday, October 27","Thursday, October 27","Thursday, October 27","Thursday, October 27","Thursday, October 27","Thursday, October 27",,,
1.2,1.848M,Va. TechPittsburgh,ACC,7:00 PM,ESPN,,,
0.8,1.107M,CalUSC,Pac-12,10:34 PM,ESPN,,,
—,105K,App. StateGa. Southern,Sun Belt,7:30 PM,ESPNU,,,
"Friday, October 28","Friday, October 28","Friday, October 28","Friday, October 28","Friday, October 28","Friday, October 28",,,
—,556K,NavyUSF,American,7:00 PM,ESPN2,,,
—,435K,Air ForceFresno St.,MWC,10:37 PM,ESPN2,,,
