Team,Year,Conference,PD,W,L,FPI,RK,Capacity
Florida State Seminoles,2013,ACC,553,14,0,33.2,1,"82,300"
Florida State Seminoles,2014,ACC,173,13,1,19,14,"82,300"
Florida State Seminoles,2015,ACC,223,10,3,18,13,"82,300"
Florida State Seminoles,2016,ACC,163,10,3,22.2,8,"82,300"
Florida State Seminoles,2017,ACC,99,7,6,13.3,20,"82,300"
Florida State Seminoles,2020,ACC,-92,3,6,-3.8,88,"82,300"
Georgia Bulldogs,2016,SEC,30,8,5,8.1,41,"92,746"
Georgia Bulldogs,2017,SEC,359,13,2,25.1,3,"92,746"
Georgia Bulldogs,2014,SEC,282,10,3,24.3,5,"92,746"
Georgia Bulldogs,2015,SEC,139,10,3,15.9,19,"92,746"
Georgia Bulldogs,2010,SEC,128,6,7,13.8,20,"92,746"
Georgia Bulldogs,2011,SEC,160,10,4,15.4,14,"92,746"
Georgia Bulldogs,2012,SEC,254,12,2,22.7,4,"92,746"
Georgia Bulldogs,2013,SEC,100,8,5,18.4,18,"92,746"
Georgia Bulldogs,2019,SEC,269,12,2,24,5,"92,746"
Georgia Bulldogs,2020,SEC,123,8,2,22.2,5,"92,746"
Georgia Bulldogs,2018,SEC,289,11,3,24.9,3,"92,746"
Georgia Tech Yellow Jackets,2019,ACC,-189,3,9,-10.8,110,"55,000"
Georgia Tech Yellow Jackets,2017,ACC,17,5,6,7.6,33,"55,000"
Georgia Tech Yellow Jackets,2018,ACC,90,7,6,6.9,39,"55,000"
Georgia Tech Yellow Jackets,2010,ACC,10,6,7,5.3,49,"55,000"
Georgia Tech Yellow Jackets,2011,ACC,107,8,5,5,47,"55,000"
Georgia Tech Yellow Jackets,2012,ACC,74,7,7,7.4,43,"55,000"
Georgia Tech Yellow Jackets,2013,ACC,159,7,6,12.4,29,"55,000"
Georgia Tech Yellow Jackets,2014,ACC,204,11,3,16,21,"55,000"
Georgia Tech Yellow Jackets,2015,ACC,42,3,9,10.2,36,"55,000"
Georgia Tech Yellow Jackets,2016,ACC,67,9,4,7.4,46,"55,000"
Georgia Tech Yellow Jackets,2020,ACC,-129,3,7,-4.7,90,"55,000"
Illinois Fighting Illini,2018,Big10,-161,4,8,-8.5,98,"60,670"
Illinois Fighting Illini,2019,Big10,42,6,7,-0.6,65,"60,670"
Illinois Fighting Illini,2020,Big10,-118,2,6,-2.3,81,"60,670"
Illinois Fighting Illini,2010,Big10,118,7,6,9.5,35,"60,670"
Illinois Fighting Illini,2011,Big10,39,7,6,5.7,45,"60,670"
Illinois Fighting Illini,2012,Big10,-185,2,10,-8.6,98,"60,670"
Illinois Fighting Illini,2013,Big10,-69,4,8,-2.9,75,"60,670"
Illinois Fighting Illini,2017,Big10,-193,2,10,-12.3,104,"60,670"
Illinois Fighting Illini,2014,Big10,-70,6,7,-2.5,79,"60,670"
Illinois Fighting Illini,2015,Big10,-7,5,7,3.1,67,"60,670"
Illinois Fighting Illini,2016,Big10,-147,3,9,-6,94,"60,670"
Indiana Hoosiers,2015,Big10,30,6,7,1.7,72,"52,959"
Indiana Hoosiers,2020,Big10,69,6,2,14.3,16,"52,959"
Indiana Hoosiers,2011,Big10,-191,1,11,-12.7,105,"52,959"
Indiana Hoosiers,2012,Big10,-54,4,8,-4.1,83,"52,959"
Indiana Hoosiers,2013,Big10,-5,5,7,4.6,57,"52,959"
Indiana Hoosiers,2010,Big10,-82,5,7,-6.3,86,"52,959"
Indiana Hoosiers,2016,Big10,7,6,7,0.9,67,"52,959"
Indiana Hoosiers,2017,Big10,18,5,7,3.7,49,"52,959"
Indiana Hoosiers,2018,Big10,-42,5,7,1.9,63,"52,959"
Indiana Hoosiers,2014,Big10,-93,4,8,-0.8,74,"52,959"
Indiana Hoosiers,2019,Big10,119,8,5,7.5,36,"52,959"
Iowa Hawkeyes,2011,Big10,48,7,6,5.2,46,"70,585"
Iowa Hawkeyes,2012,Big10,-43,4,8,1.1,65,"70,585"
Iowa Hawkeyes,2013,Big10,96,8,5,8.9,41,"70,585"
Iowa Hawkeyes,2010,Big10,155,8,5,13.1,21,"70,585"
Iowa Hawkeyes,2015,Big10,193,12,2,11.8,33,"70,585"
Iowa Hawkeyes,2016,Big10,109,8,5,10.7,30,"70,585"
Iowa Hawkeyes,2017,Big10,128,8,5,11.6,23,"70,585"
Iowa Hawkeyes,2014,Big10,77,7,6,6.4,49,"70,585"
Iowa Hawkeyes,2019,Big10,177,10,3,14.9,15,"70,585"
Iowa Hawkeyes,2020,Big10,126,6,2,17,12,"70,585"
Iowa Hawkeyes,2018,Big10,196,9,4,15.1,16,"70,585"
Iowa State Cyclones,2015,BIG12,-92,3,9,0.6,79,"61,000"
Iowa State Cyclones,2013,BIG12,-134,3,9,-2.7,74,"61,000"
Iowa State Cyclones,2014,BIG12,-188,2,10,-3.9,85,"61,000"
Iowa State Cyclones,2010,BIG12,-80,5,7,-2,72,"61,000"
Iowa State Cyclones,2011,BIG12,-87,6,7,-0.5,74,"61,000"
Iowa State Cyclones,2012,BIG12,8,6,7,5.2,55,"61,000"
Iowa State Cyclones,2017,BIG12,128,8,5,10,26,"61,000"
Iowa State Cyclones,2018,BIG12,78,8,5,7.5,38,"61,000"
Iowa State Cyclones,2019,BIG12,114,7,6,11,22,"61,000"
Iowa State Cyclones,2016,BIG12,-44,3,9,1.1,66,"61,000"
Iowa State Cyclones,2020,BIG12,138,9,3,17.9,10,"61,000"
Kansas Jayhawks,2014,BIG12,-185,3,9,-6.5,91,"50,071"
Kansas Jayhawks,2015,BIG12,-370,0,12,-18.9,124,"50,071"
Kansas Jayhawks,2016,BIG12,-205,2,10,-9.8,104,"50,071"
Kansas Jayhawks,2020,BIG12,-272,0,9,-15.2,117,"50,071"
Kansas Jayhawks,2010,BIG12,-208,3,9,-11.5,101,"50,071"
Kansas Jayhawks,2011,BIG12,-257,2,10,-9.4,100,"50,071"
Kansas Jayhawks,2012,BIG12,-214,1,11,-6.8,94,"50,071"
Kansas Jayhawks,2013,BIG12,-198,3,9,-10.1,104,"50,071"
Kansas Jayhawks,2017,BIG12,-297,1,11,-16.6,119,"50,071"
Kansas Jayhawks,2018,BIG12,-74,3,9,-3.2,80,"50,071"
Kansas Jayhawks,2019,BIG12,-151,3,9,-9.7,106,"50,071"
Kansas State Wildcats,2017,BIG12,110,8,5,8.9,29,"50,000"
Kansas State Wildcats,2010,BIG12,59,7,6,4,55,"50,000"
Kansas State Wildcats,2018,BIG12,-35,5,7,2,62,"50,000"
Kansas State Wildcats,2019,BIG12,127,8,5,7.8,34,"50,000"
Kansas State Wildcats,2020,BIG12,-56,4,6,2.9,55,"50,000"
Kansas State Wildcats,2014,BIG12,204,9,4,17.3,18,"50,000"
Kansas State Wildcats,2011,BIG12,50,10,3,8.2,35,"50,000"
Kansas State Wildcats,2012,BIG12,217,11,2,20.3,9,"50,000"
Kansas State Wildcats,2013,BIG12,134,8,5,14.3,24,"50,000"
Kansas State Wildcats,2015,BIG12,25,6,7,5.2,60,"50,000"
Kansas State Wildcats,2016,BIG12,157,9,4,12.1,27,"50,000"
Kentucky Wildcats,2010,SEC,37,6,7,3.6,57,"61,000"
Kentucky Wildcats,2012,SEC,-157,2,10,-4.6,85,"61,000"
Kentucky Wildcats,2013,SEC,-128,2,10,-3.7,81,"61,000"
Kentucky Wildcats,2014,SEC,-25,5,7,3.3,60,"61,000"
Kentucky Wildcats,2011,SEC,-106,5,7,-3.2,78,"61,000"
Kentucky Wildcats,2016,SEC,16,7,6,2.3,62,"61,000"
Kentucky Wildcats,2017,SEC,-11,7,6,1.4,58,"61,000"
Kentucky Wildcats,2018,SEC,151,10,3,11.4,26,"61,000"
Kentucky Wildcats,2015,SEC,-33,5,7,2.1,69,"61,000"
Kentucky Wildcats,2020,SEC,-45,5,6,4.8,45,"61,000"
Kentucky Wildcats,2019,SEC,132,8,5,8.8,25,"61,000"
Louisville Cardinals,2015,ACC,81,8,5,10.3,35,"55,000"
Louisville Cardinals,2016,ACC,273,9,4,21.6,9,"55,000"
Louisville Cardinals,2014,ACC,159,9,4,11,35,"55,000"
Louisville Cardinals,2018,ACC,-292,2,10,-11.9,103,"55,000"
Louisville Cardinals,2019,ACC,24,8,5,2.5,54,"55,000"
Louisville Cardinals,2020,ACC,32,4,7,6.2,38,"55,000"
Louisville Cardinals,2017,ACC,170,8,5,13,22,"55,000"
LSU Tigers,2014,SEC,162,8,5,19,15,"100,500"
LSU Tigers,2015,SEC,130,9,3,20.6,8,"100,500"
LSU Tigers,2016,SEC,160,8,4,22.9,6,"100,500"
LSU Tigers,2020,SEC,-29,5,5,9.2,28,"100,500"
LSU Tigers,2013,SEC,179,10,3,19.4,15,"100,500"
LSU Tigers,2010,SEC,145,11,2,16.8,14,"100,500"
LSU Tigers,2011,SEC,342,13,1,29.7,2,"100,500"
LSU Tigers,2012,SEC,159,10,3,19.3,10,"100,500"
LSU Tigers,2017,SEC,129,9,4,13.9,14,"100,500"
LSU Tigers,2018,SEC,170,10,3,14.9,17,"100,500"
LSU Tigers,2019,SEC,451,15,0,30.3,3,"100,500"
Maryland Terrapins,2012,ACC,-85,4,8,-3.2,81,"54,000"
Maryland Terrapins,2011,ACC,-134,2,10,-4.6,82,"54,000"
Maryland Terrapins,2018,Big10,-2,5,7,4.6,50,"54,000"
Maryland Terrapins,2019,Big10,-113,3,9,-5.6,89,"54,000"
Maryland Terrapins,2020,Big10,-42,2,3,-1.6,78,"54,000"
Maryland Terrapins,2015,Big10,-144,3,9,-1.5,84,"54,000"
Maryland Terrapins,2010,ACC,131,9,4,8.2,38,"54,000"
Maryland Terrapins,2013,ACC,11,7,6,0.3,67,"54,000"
Maryland Terrapins,2014,Big10,23,7,6,5.8,52,"54,000"
Maryland Terrapins,2016,Big10,-13,6,7,-2.3,78,"54,000"
Maryland Terrapins,2017,Big10,-156,4,8,-5.1,84,"54,000"
Miami Hurricanes,2010,ACC,72,7,6,12,24,"65,236"
Miami Hurricanes,2012,ACC,11,7,5,7,44,"65,236"
Miami Hurricanes,2013,ACC,92,9,4,10.8,35,"65,236"
Miami Hurricanes,2014,ACC,88,6,7,10.8,36,"65,236"
Miami Hurricanes,2011,ACC,77,6,6,9.3,31,"65,236"
Miami Hurricanes,2016,ACC,219,9,4,17.2,14,"65,236"
Miami Hurricanes,2017,ACC,139,10,3,13.5,17,"65,236"
Miami Hurricanes,2018,ACC,156,7,6,11.2,27,"65,236"
Miami Hurricanes,2015,ACC,15,8,5,6.4,52,"65,236"
Miami Hurricanes,2020,ACC,77,8,3,10.2,25,"65,236"
Miami Hurricanes,2019,ACC,85,6,7,5.4,45,"65,236"
Michigan State Spartans,2011,Big10,177,11,3,14.2,20,"75,005"
Michigan State Spartans,2012,Big10,48,7,6,9.3,33,"75,005"
Michigan State Spartans,2010,Big10,93,11,2,8.1,39,"75,005"
Michigan State Spartans,2014,Big10,320,11,2,23.1,7,"75,005"
Michigan State Spartans,2015,Big10,151,12,2,16.6,18,"75,005"
Michigan State Spartans,2016,Big10,-44,3,9,3.9,60,"75,005"
Michigan State Spartans,2013,Big10,226,13,1,17,20,"75,005"
Michigan State Spartans,2018,Big10,27,7,6,9.8,32,"75,005"
Michigan State Spartans,2019,Big10,19,7,6,7.7,35,"75,005"
Michigan State Spartans,2017,Big10,76,10,3,8,32,"75,005"
Michigan State Spartans,2020,Big10,-120,2,5,-2.9,83,"75,005"
Michigan Wolverines,2011,Big10,207,11,2,17.6,10,"107,601"
Michigan Wolverines,2019,Big10,178,9,4,20,12,"107,601"
Michigan Wolverines,2012,Big10,130,8,5,15.9,16,"107,601"
Michigan Wolverines,2013,Big10,70,7,6,11.2,33,"107,601"
Michigan Wolverines,2010,Big10,-34,7,6,3.6,58,"107,601"
Michigan Wolverines,2014,Big10,-18,5,7,7.2,44,"107,601"
Michigan Wolverines,2015,Big10,202,10,3,17.2,15,"107,601"
Michigan Wolverines,2016,Big10,374,10,3,27,3,"107,601"
Michigan Wolverines,2017,Big10,109,8,5,11.2,24,"107,601"
Michigan Wolverines,2018,Big10,246,10,3,20.1,6,"107,601"
Michigan Wolverines,2020,Big10,-37,2,4,4.5,48,"107,601"
Minnesota Golden Gophers,2016,Big10,106,9,4,7.2,47,"50,805"
Minnesota Golden Gophers,2017,Big10,-9,5,7,-0.2,66,"50,805"
Minnesota Golden Gophers,2014,Big10,88,8,5,8.3,39,"50,805"
Minnesota Golden Gophers,2015,Big10,-21,6,7,3.4,66,"50,805"
Minnesota Golden Gophers,2010,Big10,-118,3,9,-3.6,77,"50,805"
Minnesota Golden Gophers,2011,Big10,-159,3,9,-7.1,89,"50,805"
Minnesota Golden Gophers,2012,Big10,-34,6,7,-1.2,70,"50,805"
Minnesota Golden Gophers,2013,Big10,45,8,5,3.7,60,"50,805"
Minnesota Golden Gophers,2019,Big10,174,11,2,13.8,18,"50,805"
Minnesota Golden Gophers,2020,Big10,-20,3,4,5.4,42,"50,805"
Minnesota Golden Gophers,2018,Big10,41,7,6,5.2,48,"50,805"
Mississippi State Bulldogs,2019,SEC,22,6,7,7.1,39,"64,038"
Mississippi State Bulldogs,2017,SEC,171,9,4,13.3,19,"64,038"
Mississippi State Bulldogs,2018,SEC,227,8,5,18.4,9,"64,038"
Mississippi State Bulldogs,2010,SEC,113,9,4,12.2,23,"64,038"
Mississippi State Bulldogs,2011,SEC,73,7,6,10.1,29,"64,038"
Mississippi State Bulldogs,2012,SEC,80,8,5,8.3,40,"64,038"
Mississippi State Bulldogs,2013,SEC,61,7,6,11.8,31,"64,038"
Mississippi State Bulldogs,2014,SEC,247,10,3,20.1,10,"64,038"
Mississippi State Bulldogs,2015,SEC,173,9,4,16.7,17,"64,038"
Mississippi State Bulldogs,2016,SEC,-2,6,7,6.2,51,"64,038"
Mississippi State Bulldogs,2020,SEC,-74,4,7,3.1,52,"64,038"
Missouri Tigers,2018,SEC,183,8,5,15.3,14,"71,004"
Missouri Tigers,2019,SEC,71,6,6,7.8,32,"71,004"
Missouri Tigers,2020,SEC,-56,5,5,3.8,49,"71,004"
Missouri Tigers,2010,BIG12,173,10,3,16.2,16,"71,004"
Missouri Tigers,2011,BIG12,121,8,5,15.3,16,"71,004"
Missouri Tigers,2012,SEC,-32,5,7,8.4,39,"71,004"
Missouri Tigers,2013,SEC,225,12,2,21.2,9,"71,004"
Missouri Tigers,2017,SEC,107,7,6,5.9,39,"71,004"
Missouri Tigers,2014,SEC,111,11,3,13.7,26,"71,004"
Missouri Tigers,2015,SEC,-31,5,7,5.4,58,"71,004"
Missouri Tigers,2016,SEC,-1,4,8,2.1,64,"71,004"
Nebraska Cornhuskers,2018,Big10,-15,4,8,3.1,57,"92,000"
Nebraska Cornhuskers,2010,BIG12,189,10,4,15.7,18,"92,000"
Nebraska Cornhuskers,2011,Big10,75,9,4,11,25,"92,000"
Nebraska Cornhuskers,2012,Big10,101,10,4,12.2,24,"92,000"
Nebraska Cornhuskers,2013,Big10,92,9,4,9.7,37,"92,000"
Nebraska Cornhuskers,2014,Big10,193,9,4,13.2,28,"92,000"
Nebraska Cornhuskers,2015,Big10,94,6,7,9.4,39,"92,000"
Nebraska Cornhuskers,2016,Big10,72,9,4,7,48,"92,000"
Nebraska Cornhuskers,2017,Big10,-128,4,8,-2.1,70,"92,000"
Nebraska Cornhuskers,2019,Big10,3,5,7,4.5,47,"92,000"
Nebraska Cornhuskers,2020,Big10,-48,3,5,4.9,44,"92,000"
North Carolina Tar Heels,2020,ACC,147,8,4,10.2,26,"62,980"
North Carolina Tar Heels,2010,ACC,27,8,5,10.4,32,"62,980"
North Carolina Tar Heels,2011,ACC,41,7,6,6.1,43,"62,980"
North Carolina Tar Heels,2012,ACC,179,8,4,10.6,28,"62,980"
North Carolina Tar Heels,2013,ACC,107,7,6,11.2,32,"62,980"
North Carolina Tar Heels,2014,ACC,-41,6,7,4.4,57,"62,980"
North Carolina Tar Heels,2015,ACC,276,11,3,17,16,"62,980"
North Carolina Tar Heels,2016,ACC,121,8,5,14,21,"62,980"
North Carolina Tar Heels,2017,ACC,-63,3,9,0.9,62,"62,980"
North Carolina Tar Heels,2018,ACC,-79,2,9,-2.6,77,"62,980"
North Carolina Tar Heels,2019,ACC,135,7,6,8.4,27,"62,980"
Ohio State Buckeyes,2010,Big10,312,12,1,25,4,"102,329"
Ohio State Buckeyes,2011,Big10,45,6,7,10.2,28,"102,329"
Ohio State Buckeyes,2012,Big10,143,12,0,15.8,17,"102,329"
Ohio State Buckeyes,2013,Big10,320,12,2,22.1,7,"102,329"
Ohio State Buckeyes,2014,Big10,397,14,1,25.7,4,"102,329"
Ohio State Buckeyes,2015,Big10,296,12,1,24.9,3,"102,329"
Ohio State Buckeyes,2016,Big10,342,11,2,26.2,4,"102,329"
Ohio State Buckeyes,2017,Big10,317,12,2,26.9,2,"102,329"
Ohio State Buckeyes,2018,Big10,259,13,1,21.6,4,"102,329"
Ohio State Buckeyes,2019,Big10,493,13,1,33.7,1,"102,329"
Ohio State Buckeyes,2020,Big10,122,7,1,27.6,2,"102,329"
Oklahoma Sooners,2010,BIG12,216,12,2,21.1,8,"84,000"
Oklahoma Sooners,2011,BIG12,227,10,3,23.8,6,"84,000"
Oklahoma Sooners,2012,BIG12,165,10,3,21.7,6,"84,000"
Oklahoma Sooners,2013,BIG12,140,11,2,18.3,19,"84,000"
Oklahoma Sooners,2014,BIG12,174,8,5,18.9,16,"84,000"
Oklahoma Sooners,2015,BIG12,317,11,2,26.2,2,"84,000"
Oklahoma Sooners,2016,BIG12,215,11,2,22.5,7,"84,000"
Oklahoma Sooners,2017,BIG12,307,12,2,22.3,6,"84,000"
Oklahoma Sooners,2018,BIG12,256,12,2,21.3,5,"84,000"
Oklahoma Sooners,2019,BIG12,271,12,2,19.9,13,"84,000"
Oklahoma Sooners,2020,BIG12,234,9,2,24.3,4,"84,000"
Oklahoma State Cowboys,2010,BIG12,232,11,2,17.6,12,"60,218"
Oklahoma State Cowboys,2011,BIG12,285,12,1,27,3,"60,218"
Oklahoma State Cowboys,2012,BIG12,227,8,5,20.6,8,"60,218"
