Team,W.L,FPI,RK,Year
Maryland Terrapins,4-8,-5.1,84,2017
Rutgers Scarlet Knights,4-8,-8.1,94,2017
Illinois Fighting Illini,2-10,-12.3,104,2017
Michigan Wolverines,10-3,27.0,3,2016
Ohio State Buckeyes,11-2,26.2,4,2016
Wisconsin Badgers,11-3,17.8,12,2016
Penn State Nittany Lions,11-3,17.6,13,2016
Iowa Hawkeyes,8-5,10.7,30,2016
Northwestern Wildcats,7-6,8.0,42,2016
Minnesota Golden Gophers,9-4,7.2,47,2016
Nebraska Cornhuskers,9-4,7.0,48,2016
Michigan State Spartans,3-9,3.9,60,2016
Indiana Hoosiers,6-7,0.9,67,2016
Maryland Terrapins,6-7,-2.3,78,2016
Illinois Fighting Illini,3-9,-6.0,94,2016
Purdue Boilermakers,3-9,-8.8,99,2016
Rutgers Scarlet Knights,2-10,-12.2,113,2016
Ohio State Buckeyes,12-1,24.9,3,2015
Michigan Wolverines,10-3,17.2,15,2015
Michigan State Spartans,12-2,16.6,18,2015
Wisconsin Badgers,10-3,13.9,26,2015
Iowa Hawkeyes,12-2,11.8,33,2015
Nebraska Cornhuskers,6-7,9.4,39,2015
Penn State Nittany Lions,7-6,6.9,49,2015
Northwestern Wildcats,10-3,4.8,62,2015
Minnesota Golden Gophers,6-7,3.4,66,2015
Illinois Fighting Illini,5-7,3.1,67,2015
Indiana Hoosiers,6-7,1.7,72,2015
Maryland Terrapins,3-9,-1.5,84,2015
Purdue Boilermakers,2-10,-4.3,89,2015
Rutgers Scarlet Knights,4-8,-4.9,90,2015
Ohio State Buckeyes,14-1,25.7,4,2014
Michigan State Spartans,11-2,23.1,7,2014
Wisconsin Badgers,11-3,17.1,19,2014
Nebraska Cornhuskers,9-4,13.2,28,2014
Minnesota Golden Gophers,8-5,8.3,39,2014
Michigan Wolverines,5-7,7.2,44,2014
Iowa Hawkeyes,7-6,6.4,49,2014
Maryland Terrapins,7-6,5.8,52,2014
Penn State Nittany Lions,7-6,4.6,56,2014
Northwestern Wildcats,5-7,1.8,66,2014
Rutgers Scarlet Knights,8-5,1.5,67,2014
Indiana Hoosiers,4-8,-0.8,74,2014
Illinois Fighting Illini,6-7,-2.5,79,2014
Purdue Boilermakers,3-9,-4.0,86,2014
Ohio State Buckeyes,12-2,22.1,7,2013
Wisconsin Badgers,9-4,18.5,17,2013
Michigan State Spartans,13-1,17.0,20,2013
Michigan Wolverines,7-6,11.2,33,2013
Nebraska Cornhuskers,9-4,9.7,37,2013
Iowa Hawkeyes,8-5,8.9,41,2013
Penn State Nittany Lions,7-5,5.2,55,2013
Indiana Hoosiers,5-7,4.6,57,2013
Northwestern Wildcats,5-7,4.0,58,2013
Minnesota Golden Gophers,8-5,3.7,60,2013
Illinois Fighting Illini,4-8,-2.9,75,2013
Purdue Boilermakers,1-11,-13.5,111,2013
Michigan Wolverines,8-5,15.9,16,2012
Ohio State Buckeyes,12-0,15.8,17,2012
Wisconsin Badgers,8-6,14.0,21,2012
Nebraska Cornhuskers,10-4,12.2,24,2012
Penn State Nittany Lions,8-4,9.5,31,2012
Michigan State Spartans,7-6,9.3,33,2012
Northwestern Wildcats,10-3,8.0,41,2012
Purdue Boilermakers,6-7,1.1,64,2012
Iowa Hawkeyes,4-8,1.1,65,2012
Minnesota Golden Gophers,6-7,-1.2,70,2012
Indiana Hoosiers,4-8,-4.1,83,2012
Illinois Fighting Illini,2-10,-8.6,98,2012
Wisconsin Badgers,11-3,23.0,7,2011
Michigan Wolverines,11-2,17.6,10,2011
Michigan State Spartans,11-3,14.2,20,2011
Nebraska Cornhuskers,9-4,11.0,25,2011
Ohio State Buckeyes,6-7,10.2,28,2011
Penn State Nittany Lions,9-4,7.3,36,2011
Illinois Fighting Illini,7-6,5.7,45,2011
Iowa Hawkeyes,7-6,5.2,46,2011
Northwestern Wildcats,6-7,2.0,60,2011
Purdue Boilermakers,7-6,-0.0,68,2011
Minnesota Golden Gophers,3-9,-7.1,89,2011
Indiana Hoosiers,1-11,-12.7,105,2011
Ohio State Buckeyes,12-1,25.0,4,2010
Wisconsin Badgers,11-2,18.2,11,2010
Iowa Hawkeyes,8-5,13.1,21,2010
Illinois Fighting Illini,7-6,9.5,35,2010
Michigan State Spartans,11-2,8.1,39,2010
Penn State Nittany Lions,7-6,6.9,40,2010
Michigan Wolverines,7-6,3.6,58,2010
Northwestern Wildcats,7-6,-2.0,71,2010
Minnesota Golden Gophers,3-9,-3.6,77,2010
Purdue Boilermakers,4-8,-5.5,82,2010
Indiana Hoosiers,5-7,-6.3,86,2010
Ohio State Buckeyes,11-2,19.0,7,2009
Penn State Nittany Lions,11-2,17.0,8,2009
Iowa Hawkeyes,11-2,12.2,23,2009
Wisconsin Badgers,10-3,9.7,30,2009
Michigan State Spartans,6-7,7.1,40,2009
Michigan Wolverines,5-7,3.1,60,2009
Minnesota Golden Gophers,6-7,2.8,61,2009
Purdue Boilermakers,5-7,1.4,62,2009
Northwestern Wildcats,8-5,0.4,68,2009
Illinois Fighting Illini,3-9,0.4,69,2009
Indiana Hoosiers,4-8,-4.7,85,2009
Penn State Nittany Lions,11-2,25.5,5,2008
Ohio State Buckeyes,10-3,20.8,6,2008
Iowa Hawkeyes,9-4,15.2,13,2008
Michigan State Spartans,9-4,7.9,34,2008
Illinois Fighting Illini,5-7,6.1,40,2008
Wisconsin Badgers,7-6,5.8,43,2008
Northwestern Wildcats,9-4,5.6,45,2008
Purdue Boilermakers,4-8,3.4,53,2008
Michigan Wolverines,3-9,-0.5,69,2008
Minnesota Golden Gophers,7-6,-0.7,70,2008
Indiana Hoosiers,3-9,-10.4,102,2008
Ohio State Buckeyes,11-2,19.1,8,2007
Penn State Nittany Lions,9-4,14.2,14,2007
Michigan Wolverines,9-4,11.4,24,2007
Wisconsin Badgers,9-4,10.2,28,2007
Illinois Fighting Illini,9-4,9.1,35,2007
Purdue Boilermakers,8-5,7.4,43,2007
Michigan State Spartans,7-6,7.2,44,2007
Iowa Hawkeyes,6-6,0.8,64,2007
Indiana Hoosiers,7-6,0.0,66,2007
Northwestern Wildcats,6-6,-4.0,77,2007
Minnesota Golden Gophers,1-11,-6.2,82,2007
Ohio State Buckeyes,12-1,24.9,1,2006
Michigan Wolverines,11-2,19.4,7,2006
Wisconsin Badgers,12-1,13.5,19,2006
Penn State Nittany Lions,9-4,11.9,22,2006
Iowa Hawkeyes,6-7,9.6,36,2006
Minnesota Golden Gophers,6-7,8.5,39,2006
Michigan State Spartans,4-8,3.0,56,2006
Purdue Boilermakers,8-6,2.0,60,2006
Illinois Fighting Illini,2-10,-2.9,72,2006
Indiana Hoosiers,5-7,-3.4,75,2006
Northwestern Wildcats,4-8,-3.9,79,2006
Ohio State Buckeyes,10-2,23.9,3,2005
Penn State Nittany Lions,11-1,20.1,5,2005
Michigan Wolverines,7-5,15.8,14,2005
Iowa Hawkeyes,7-5,14.5,17,2005
Minnesota Golden Gophers,7-5,12.9,20,2005
Wisconsin Badgers,10-3,11.3,24,2005
Purdue Boilermakers,5-6,9.9,29,2005
Michigan State Spartans,5-6,9.8,30,2005
Northwestern Wildcats,7-5,5.2,42,2005
Indiana Hoosiers,4-7,-6.1,85,2005
Illinois Fighting Illini,2-9,-11.5,99,2005
