Team,W.L,FPI,RK,Year
North Carolina Tar Heels,7-6,11.2,32,2013
Miami Hurricanes,9-4,10.8,35,2013
Virginia Tech Hokies,8-5,8.8,42,2013
Duke Blue Devils,10-4,6.5,48,2013
Pittsburgh Panthers,7-6,5.3,54,2013
Boston College Eagles,7-6,2.5,63,2013
Maryland Terrapins,7-6,0.3,67,2013
Syracuse Orange,7-6,-0.5,70,2013
Wake Forest Demon Deacons,4-8,-3.5,79,2013
NC State Wolfpack,3-9,-5.5,88,2013
Virginia Cavaliers,2-10,-6.1,92,2013
Florida State Seminoles,12-2,22.7,5,2012
Clemson Tigers,11-2,17.2,14,2012
North Carolina Tar Heels,8-4,10.6,28,2012
Georgia Tech Yellow Jackets,7-7,7.4,43,2012
Miami Hurricanes,7-5,7.0,44,2012
Virginia Tech Hokies,7-6,6.5,48,2012
NC State Wolfpack,7-6,3.5,58,2012
Duke Blue Devils,6-7,-1.7,73,2012
Virginia Cavaliers,4-8,-2.0,75,2012
Boston College Eagles,2-10,-2.6,77,2012
Maryland Terrapins,4-8,-3.2,81,2012
Wake Forest Demon Deacons,5-7,-7.6,95,2012
Florida State Seminoles,9-4,15.3,15,2011
Virginia Tech Hokies,11-3,11.8,23,2011
Miami Hurricanes,6-6,9.3,31,2011
Clemson Tigers,10-4,8.3,34,2011
North Carolina Tar Heels,7-6,6.1,43,2011
Georgia Tech Yellow Jackets,8-5,5.0,47,2011
NC State Wolfpack,8-5,2.4,58,2011
Virginia Cavaliers,8-5,0.2,67,2011
Wake Forest Demon Deacons,6-7,-0.2,69,2011
Boston College Eagles,4-8,-0.5,75,2011
Maryland Terrapins,2-10,-4.6,82,2011
Duke Blue Devils,3-9,-6.1,86,2011
Virginia Tech Hokies,11-3,18.4,10,2010
Florida State Seminoles,10-4,17.2,13,2010
Miami Hurricanes,7-6,12.0,24,2010
NC State Wolfpack,9-4,11.6,26,2010
Clemson Tigers,6-7,10.4,31,2010
North Carolina Tar Heels,8-5,10.4,32,2010
Maryland Terrapins,9-4,8.2,38,2010
Georgia Tech Yellow Jackets,6-7,5.3,49,2010
Boston College Eagles,7-6,3.3,59,2010
Virginia Cavaliers,4-8,-1.9,70,2010
Duke Blue Devils,3-9,-4.0,79,2010
Wake Forest Demon Deacons,3-9,-6.0,83,2010
Virginia Tech Hokies,10-3,20.8,5,2009
Georgia Tech Yellow Jackets,11-3,14.7,14,2009
Miami Hurricanes,9-4,13.8,18,2009
Clemson Tigers,9-5,13.2,20,2009
Florida State Seminoles,7-6,9.5,33,2009
North Carolina Tar Heels,8-5,9.0,35,2009
Boston College Eagles,8-5,7.0,41,2009
Wake Forest Demon Deacons,5-7,5.3,50,2009
NC State Wolfpack,5-7,1.1,63,2009
Virginia Cavaliers,3-9,0.6,65,2009
Duke Blue Devils,5-7,-1.7,78,2009
Maryland Terrapins,2-10,-4.2,82,2009
Florida State Seminoles,9-4,14.0,19,2008
Clemson Tigers,7-6,11.5,23,2008
North Carolina Tar Heels,8-5,9.4,28,2008
Virginia Tech Hokies,10-4,9.2,29,2008
Boston College Eagles,9-5,7.3,35,2008
Miami Hurricanes,7-6,7.1,38,2008
Wake Forest Demon Deacons,8-5,5.6,46,2008
Georgia Tech Yellow Jackets,9-4,4.6,51,2008
Maryland Terrapins,8-5,2.8,54,2008
Virginia Cavaliers,5-7,2.4,56,2008
NC State Wolfpack,6-7,1.4,59,2008
Duke Blue Devils,4-8,-0.3,68,2008
Virginia Tech Hokies,11-3,16.3,10,2007
Clemson Tigers,9-4,15.2,12,2007
Boston College Eagles,11-3,9.6,32,2007
Virginia Cavaliers,9-4,7.9,41,2007
Florida State Seminoles,7-6,7.6,42,2007
Wake Forest Demon Deacons,9-4,6.5,45,2007
Maryland Terrapins,6-7,5.2,50,2007
Georgia Tech Yellow Jackets,7-6,4.9,51,2007
Miami Hurricanes,5-7,1.3,62,2007
North Carolina Tar Heels,4-8,-0.9,68,2007
NC State Wolfpack,5-7,-2.7,75,2007
Duke Blue Devils,1-11,-9.5,91,2007
Clemson Tigers,8-5,14.1,16,2006
Virginia Tech Hokies,10-3,14.0,18,2006
Boston College Eagles,10-3,11.7,24,2006
Florida State Seminoles,7-6,9.9,32,2006
Georgia Tech Yellow Jackets,9-5,8.3,41,2006
Miami Hurricanes,7-6,7.1,43,2006
Wake Forest Demon Deacons,11-3,6.5,44,2006
Maryland Terrapins,9-4,3.0,55,2006
Virginia Cavaliers,5-7,0.4,62,2006
NC State Wolfpack,3-9,0.0,63,2006
North Carolina Tar Heels,3-9,-4.8,83,2006
Duke Blue Devils,0-12,-13.7,109,2006
Virginia Tech Hokies,11-2,22.6,4,2005
Miami Hurricanes,9-3,16.7,11,2005
Boston College Eagles,9-3,12.1,22,2005
Florida State Seminoles,8-5,11.7,23,2005
Clemson Tigers,8-4,10.8,27,2005
Virginia Cavaliers,7-5,7.7,37,2005
NC State Wolfpack,7-5,7.5,38,2005
Georgia Tech Yellow Jackets,7-5,6.6,40,2005
Maryland Terrapins,5-6,4.6,47,2005
North Carolina Tar Heels,5-6,1.9,57,2005
Wake Forest Demon Deacons,4-7,1.1,61,2005
Duke Blue Devils,1-10,-13.8,104,2005
