Team,Year,Conference,PD,W,L,FPI,RK,Capacity
California Golden Bears,2019,PAC12,11,8,5,3.5,52,"62,717"
Clemson Tigers,2011,ACC,60,10,4,8.3,34,"81,500"
Clemson Tigers,2012,ACC,210,11,2,17.2,14,"81,500"
Clemson Tigers,2013,ACC,234,11,2,20,11,"81,500"
Clemson Tigers,2010,ACC,68,6,7,10.4,31,"81,500"
Clemson Tigers,2015,ACC,314,14,1,22.3,5,"81,500"
Clemson Tigers,2016,ACC,349,14,1,27.6,2,"81,500"
Clemson Tigers,2017,ACC,300,12,2,24.2,5,"81,500"
Clemson Tigers,2014,ACC,190,10,3,16.5,20,"81,500"
Clemson Tigers,2019,ACC,521,14,1,31.5,2,"81,500"
Clemson Tigers,2020,ACC,280,10,2,26.9,3,"81,500"
Clemson Tigers,2018,ACC,486,15,0,32.7,1,"81,500"
Colorado Buffaloes,2010,BIG12,-74,5,7,0.5,67,"53,750"
Colorado Buffaloes,2012,PAC12,-338,1,11,-18.6,121,"53,750"
Colorado Buffaloes,2013,PAC12,-154,4,8,-5.7,90,"53,750"
Colorado Buffaloes,2014,PAC12,-126,2,10,-1,75,"53,750"
Colorado Buffaloes,2015,PAC12,-37,4,9,-0.7,82,"53,750"
Colorado Buffaloes,2016,PAC12,169,10,4,14.2,19,"53,750"
Colorado Buffaloes,2017,PAC12,-21,5,7,-0.5,67,"53,750"
Colorado Buffaloes,2018,PAC12,-2,5,7,0.2,69,"53,750"
Colorado Buffaloes,2019,PAC12,-100,5,7,-1.6,70,"53,750"
Colorado Buffaloes,2020,PAC12,-19,4,2,1.8,59,"53,750"
Colorado Buffaloes,2011,PAC12,-218,3,10,-5.6,84,"53,750"
Duke Blue Devils,2010,ACC,-122,3,9,-4,79,"40,004"
Duke Blue Devils,2011,ACC,-104,3,9,-6.1,86,"40,004"
Duke Blue Devils,2012,ACC,-58,6,7,-1.7,73,"40,004"
Duke Blue Devils,2014,ACC,174,9,4,7.7,42,"40,004"
Duke Blue Devils,2015,ACC,121,8,5,5.1,61,"40,004"
Duke Blue Devils,2016,ACC,-58,4,8,1.6,65,"40,004"
Duke Blue Devils,2017,ACC,96,7,6,6.6,37,"40,004"
Duke Blue Devils,2018,ACC,55,8,5,6.4,43,"40,004"
Duke Blue Devils,2019,ACC,-45,5,7,-0.3,64,"40,004"
Duke Blue Devils,2020,ACC,-146,2,9,-7.3,99,"40,004"
Duke Blue Devils,2013,ACC,86,10,4,6.5,48,"40,004"
Florida Gators,2010,SEC,111,8,5,15.9,17,"88,548"
Florida Gators,2012,SEC,156,11,2,19,12,"88,548"
Florida Gators,2013,SEC,-27,4,8,9.8,36,"88,548"
Florida Gators,2014,SEC,130,7,5,15.7,22,"88,548"
Florida Gators,2011,SEC,67,7,6,10.7,26,"88,548"
Florida Gators,2016,SEC,96,9,4,13.8,22,"88,548"
Florida Gators,2017,SEC,-57,4,7,3.6,50,"88,548"
Florida Gators,2018,SEC,210,10,3,17.1,11,"88,548"
Florida Gators,2019,SEC,259,11,2,21.3,9,"88,548"
Florida Gators,2020,SEC,108,8,4,17.4,11,"88,548"
Florida Gators,2015,SEC,110,10,4,13.2,29,"88,548"
Florida State Seminoles,2011,ACC,202,9,4,15.3,15,"82,300"
Florida State Seminoles,2012,ACC,344,12,2,22.7,5,"82,300"
Florida State Seminoles,2013,ACC,553,14,0,33.2,1,"82,300"
Florida State Seminoles,2010,ACC,162,10,4,17.2,13,"82,300"
Florida State Seminoles,2015,ACC,223,10,3,18,13,"82,300"
Florida State Seminoles,2016,ACC,163,10,3,22.2,8,"82,300"
Florida State Seminoles,2017,ACC,99,7,6,13.3,20,"82,300"
Florida State Seminoles,2014,ACC,173,13,1,19,14,"82,300"
Florida State Seminoles,2019,ACC,21,6,7,4,51,"82,300"
Florida State Seminoles,2020,ACC,-92,3,6,-3.8,88,"82,300"
Florida State Seminoles,2018,ACC,-115,5,7,0.9,67,"82,300"
Georgia Bulldogs,2010,SEC,128,6,7,13.8,20,"92,746"
Georgia Bulldogs,2011,SEC,160,10,4,15.4,14,"92,746"
Georgia Bulldogs,2013,SEC,100,8,5,18.4,18,"92,746"
Georgia Bulldogs,2014,SEC,282,10,3,24.3,5,"92,746"
Georgia Bulldogs,2015,SEC,139,10,3,15.9,19,"92,746"
Georgia Bulldogs,2012,SEC,254,12,2,22.7,4,"92,746"
Georgia Bulldogs,2017,SEC,359,13,2,25.1,3,"92,746"
Georgia Bulldogs,2018,SEC,289,11,3,24.9,3,"92,746"
Georgia Bulldogs,2019,SEC,269,12,2,24,5,"92,746"
Georgia Bulldogs,2016,SEC,30,8,5,8.1,41,"92,746"
Georgia Bulldogs,2020,SEC,123,8,2,22.2,5,"92,746"
Georgia Tech Yellow Jackets,2011,ACC,107,8,5,5,47,"55,000"
Georgia Tech Yellow Jackets,2012,ACC,74,7,7,7.4,43,"55,000"
Georgia Tech Yellow Jackets,2013,ACC,159,7,6,12.4,29,"55,000"
Georgia Tech Yellow Jackets,2010,ACC,10,6,7,5.3,49,"55,000"
Georgia Tech Yellow Jackets,2015,ACC,42,3,9,10.2,36,"55,000"
Georgia Tech Yellow Jackets,2016,ACC,67,9,4,7.4,46,"55,000"
Georgia Tech Yellow Jackets,2017,ACC,17,5,6,7.6,33,"55,000"
Georgia Tech Yellow Jackets,2014,ACC,204,11,3,16,21,"55,000"
Georgia Tech Yellow Jackets,2019,ACC,-189,3,9,-10.8,110,"55,000"
Georgia Tech Yellow Jackets,2020,ACC,-129,3,7,-4.7,90,"55,000"
Georgia Tech Yellow Jackets,2018,ACC,90,7,6,6.9,39,"55,000"
Iowa State Cyclones,2010,BIG12,-80,5,7,-2,72,"61,000"
Iowa State Cyclones,2012,BIG12,8,6,7,5.2,55,"61,000"
Iowa State Cyclones,2013,BIG12,-134,3,9,-2.7,74,"61,000"
Iowa State Cyclones,2014,BIG12,-188,2,10,-3.9,85,"61,000"
Iowa State Cyclones,2015,BIG12,-92,3,9,0.6,79,"61,000"
Iowa State Cyclones,2016,BIG12,-44,3,9,1.1,66,"61,000"
Iowa State Cyclones,2017,BIG12,128,8,5,10,26,"61,000"
Iowa State Cyclones,2018,BIG12,78,8,5,7.5,38,"61,000"
Iowa State Cyclones,2019,BIG12,114,7,6,11,22,"61,000"
Iowa State Cyclones,2020,BIG12,138,9,3,17.9,10,"61,000"
Iowa State Cyclones,2011,BIG12,-87,6,7,-0.5,74,"61,000"
Kansas Jayhawks,2010,BIG12,-208,3,9,-11.5,101,"50,071"
Kansas Jayhawks,2012,BIG12,-214,1,11,-6.8,94,"50,071"
Kansas Jayhawks,2013,BIG12,-198,3,9,-10.1,104,"50,071"
Kansas Jayhawks,2014,BIG12,-185,3,9,-6.5,91,"50,071"
Kansas Jayhawks,2011,BIG12,-257,2,10,-9.4,100,"50,071"
Kansas Jayhawks,2016,BIG12,-205,2,10,-9.8,104,"50,071"
Kansas Jayhawks,2017,BIG12,-297,1,11,-16.6,119,"50,071"
Kansas Jayhawks,2018,BIG12,-74,3,9,-3.2,80,"50,071"
Kansas Jayhawks,2019,BIG12,-151,3,9,-9.7,106,"50,071"
Kansas Jayhawks,2020,BIG12,-272,0,9,-15.2,117,"50,071"
Kansas Jayhawks,2015,BIG12,-370,0,12,-18.9,124,"50,071"
Kansas State Wildcats,2010,BIG12,59,7,6,4,55,"50,000"
Kansas State Wildcats,2011,BIG12,50,10,3,8.2,35,"50,000"
Kansas State Wildcats,2012,BIG12,217,11,2,20.3,9,"50,000"
Kansas State Wildcats,2014,BIG12,204,9,4,17.3,18,"50,000"
Kansas State Wildcats,2015,BIG12,25,6,7,5.2,60,"50,000"
Kansas State Wildcats,2016,BIG12,157,9,4,12.1,27,"50,000"
Kansas State Wildcats,2013,BIG12,134,8,5,14.3,24,"50,000"
Kansas State Wildcats,2018,BIG12,-35,5,7,2,62,"50,000"
Kansas State Wildcats,2019,BIG12,127,8,5,7.8,34,"50,000"
Kansas State Wildcats,2020,BIG12,-56,4,6,2.9,55,"50,000"
Kansas State Wildcats,2017,BIG12,110,8,5,8.9,29,"50,000"
Kentucky Wildcats,2010,SEC,37,6,7,3.6,57,"61,000"
Kentucky Wildcats,2012,SEC,-157,2,10,-4.6,85,"61,000"
Kentucky Wildcats,2013,SEC,-128,2,10,-3.7,81,"61,000"
Kentucky Wildcats,2014,SEC,-25,5,7,3.3,60,"61,000"
Kentucky Wildcats,2011,SEC,-106,5,7,-3.2,78,"61,000"
Kentucky Wildcats,2016,SEC,16,7,6,2.3,62,"61,000"
Kentucky Wildcats,2017,SEC,-11,7,6,1.4,58,"61,000"
Kentucky Wildcats,2018,SEC,151,10,3,11.4,26,"61,000"
Kentucky Wildcats,2015,SEC,-33,5,7,2.1,69,"61,000"
Kentucky Wildcats,2020,SEC,-45,5,6,4.8,45,"61,000"
Kentucky Wildcats,2019,SEC,132,8,5,8.8,25,"61,000"
Louisville Cardinals,2015,ACC,81,8,5,10.3,35,"55,000"
Louisville Cardinals,2016,ACC,273,9,4,21.6,9,"55,000"
Louisville Cardinals,2017,ACC,170,8,5,13,22,"55,000"
Louisville Cardinals,2014,ACC,159,9,4,11,35,"55,000"
Louisville Cardinals,2019,ACC,24,8,5,2.5,54,"55,000"
Louisville Cardinals,2020,ACC,32,4,7,6.2,38,"55,000"
Louisville Cardinals,2018,ACC,-292,2,10,-11.9,103,"55,000"
LSU Tigers,2010,SEC,145,11,2,16.8,14,"100,500"
LSU Tigers,2012,SEC,159,10,3,19.3,10,"100,500"
LSU Tigers,2013,SEC,179,10,3,19.4,15,"100,500"
LSU Tigers,2014,SEC,162,8,5,19,15,"100,500"
LSU Tigers,2011,SEC,342,13,1,29.7,2,"100,500"
LSU Tigers,2016,SEC,160,8,4,22.9,6,"100,500"
LSU Tigers,2017,SEC,129,9,4,13.9,14,"100,500"
LSU Tigers,2018,SEC,170,10,3,14.9,17,"100,500"
LSU Tigers,2019,SEC,451,15,0,30.3,3,"100,500"
LSU Tigers,2020,SEC,-29,5,5,9.2,28,"100,500"
LSU Tigers,2015,SEC,130,9,3,20.6,8,"100,500"
Maryland Terrapins,2010,ACC,131,9,4,8.2,38,"54,000"
Maryland Terrapins,2011,ACC,-134,2,10,-4.6,82,"54,000"
Maryland Terrapins,2012,ACC,-85,4,8,-3.2,81,"54,000"
Maryland Terrapins,2013,ACC,11,7,6,0.3,67,"54,000"
Miami Hurricanes,2010,ACC,72,7,6,12,24,"65,236"
Miami Hurricanes,2011,ACC,77,6,6,9.3,31,"65,236"
Miami Hurricanes,2012,ACC,11,7,5,7,44,"65,236"
Miami Hurricanes,2014,ACC,88,6,7,10.8,36,"65,236"
Miami Hurricanes,2015,ACC,15,8,5,6.4,52,"65,236"
Miami Hurricanes,2016,ACC,219,9,4,17.2,14,"65,236"
Miami Hurricanes,2017,ACC,139,10,3,13.5,17,"65,236"
Miami Hurricanes,2018,ACC,156,7,6,11.2,27,"65,236"
Miami Hurricanes,2019,ACC,85,6,7,5.4,45,"65,236"
Miami Hurricanes,2020,ACC,77,8,3,10.2,25,"65,236"
Miami Hurricanes,2013,ACC,92,9,4,10.8,35,"65,236"
Mississippi State Bulldogs,2010,SEC,113,9,4,12.2,23,"58,580"
Mississippi State Bulldogs,2012,SEC,80,8,5,8.3,40,"58,580"
Mississippi State Bulldogs,2013,SEC,61,7,6,11.8,31,"58,580"
Mississippi State Bulldogs,2014,SEC,247,10,3,20.1,10,"58,580"
Mississippi State Bulldogs,2011,SEC,73,7,6,10.1,29,"58,580"
Mississippi State Bulldogs,2016,SEC,-2,6,7,6.2,51,"58,580"
Mississippi State Bulldogs,2017,SEC,171,9,4,13.3,19,"58,580"
Mississippi State Bulldogs,2018,SEC,227,8,5,18.4,9,"58,580"
Mississippi State Bulldogs,2019,SEC,22,6,7,7.1,39,"58,580"
Mississippi State Bulldogs,2020,SEC,-74,4,7,3.1,52,"58,580"
Mississippi State Bulldogs,2015,SEC,173,9,4,16.7,17,"58,580"
Missouri Tigers,2011,BIG12,121,8,5,15.3,16,"64,038"
Missouri Tigers,2012,SEC,-32,5,7,8.4,39,"64,038"
Missouri Tigers,2013,SEC,225,12,2,21.2,9,"64,038"
Missouri Tigers,2010,BIG12,173,10,3,16.2,16,"64,038"
Missouri Tigers,2015,SEC,-31,5,7,5.4,58,"64,038"
Missouri Tigers,2016,SEC,-1,4,8,2.1,64,"64,038"
Missouri Tigers,2017,SEC,107,7,6,5.9,39,"64,038"
Missouri Tigers,2014,SEC,111,11,3,13.7,26,"64,038"
Missouri Tigers,2019,SEC,71,6,6,7.8,32,"64,038"
Missouri Tigers,2020,SEC,-56,5,5,3.8,49,"64,038"
Missouri Tigers,2018,SEC,183,8,5,15.3,14,"64,038"
NC State Wolfpack,2010,ACC,137,9,4,11.6,26,"71,004"
NC State Wolfpack,2011,ACC,46,8,5,2.4,58,"71,004"
NC State Wolfpack,2013,ACC,-88,3,9,-5.5,88,"71,004"
NC State Wolfpack,2014,ACC,68,8,5,3.9,58,"71,004"
NC State Wolfpack,2015,ACC,147,7,6,8.8,41,"71,004"
NC State Wolfpack,2012,ACC,32,7,6,3.5,58,"71,004"
NC State Wolfpack,2017,ACC,122,9,4,13.1,21,"71,004"
NC State Wolfpack,2018,ACC,168,9,4,9.7,33,"71,004"
NC State Wolfpack,2019,ACC,-96,4,8,-7.1,92,"71,004"
NC State Wolfpack,2016,ACC,72,7,6,8.9,37,"71,004"
NC State Wolfpack,2020,ACC,13,8,4,1.5,62,"71,004"
Nebraska Cornhuskers,2010,BIG12,189,10,4,15.7,18,"57,583"
North Carolina Tar Heels,2010,ACC,27,8,5,10.4,32,"92,000"
North Carolina Tar Heels,2011,ACC,41,7,6,6.1,43,"92,000"
North Carolina Tar Heels,2012,ACC,179,8,4,10.6,28,"92,000"
North Carolina Tar Heels,2014,ACC,-41,6,7,4.4,57,"92,000"
North Carolina Tar Heels,2015,ACC,276,11,3,17,16,"92,000"
North Carolina Tar Heels,2016,ACC,121,8,5,14,21,"92,000"
North Carolina Tar Heels,2013,ACC,107,7,6,11.2,32,"92,000"
North Carolina Tar Heels,2018,ACC,-79,2,9,-2.6,77,"92,000"
North Carolina Tar Heels,2019,ACC,135,7,6,8.4,27,"92,000"
North Carolina Tar Heels,2020,ACC,147,8,4,10.2,26,"92,000"
North Carolina Tar Heels,2017,ACC,-63,3,9,0.9,62,"92,000"
Oklahoma Sooners,2010,BIG12,216,12,2,21.1,8,"102,329"
Oklahoma Sooners,2011,BIG12,227,10,3,23.8,6,"102,329"
Oklahoma Sooners,2012,BIG12,165,10,3,21.7,6,"102,329"
Oklahoma Sooners,2013,BIG12,140,11,2,18.3,19,"102,329"
Oklahoma Sooners,2014,BIG12,174,8,5,18.9,16,"102,329"
Oklahoma Sooners,2015,BIG12,317,11,2,26.2,2,"102,329"
Oklahoma Sooners,2016,BIG12,215,11,2,22.5,7,"102,329"
Oklahoma Sooners,2017,BIG12,307,12,2,22.3,6,"102,329"
Oklahoma Sooners,2018,BIG12,256,12,2,21.3,5,"102,329"
Oklahoma Sooners,2019,BIG12,271,12,2,19.9,13,"102,329"
Oklahoma Sooners,2020,BIG12,234,9,2,24.3,4,"102,329"
Oklahoma State Cowboys,2010,BIG12,232,11,2,17.6,12,"84,000"
Oklahoma State Cowboys,2011,BIG12,285,12,1,27,3,"84,000"
Oklahoma State Cowboys,2012,BIG12,227,8,5,20.6,8,"84,000"
Oklahoma State Cowboys,2013,BIG12,227,10,3,22.4,6,"84,000"
Oklahoma State Cowboys,2014,BIG12,-25,7,6,6.5,48,"84,000"
Oklahoma State Cowboys,2015,BIG12,166,10,3,14.2,24,"84,000"
Oklahoma State Cowboys,2016,BIG12,165,10,3,17.1,15,"84,000"
Oklahoma State Cowboys,2017,BIG12,224,10,3,17,11,"84,000"
Oklahoma State Cowboys,2018,BIG12,110,7,6,10.3,30,"84,000"
Oklahoma State Cowboys,2019,BIG12,98,8,5,8.8,26,"84,000"
Oklahoma State Cowboys,2020,BIG12,74,8,3,14.4,15,"84,000"
Ole Miss Rebels,2010,SEC,-55,4,8,1.3,64,"60,218"
Ole Miss Rebels,2011,SEC,-192,2,10,-6,85,"60,218"
Ole Miss Rebels,2012,SEC,50,7,6,10.4,29,"60,218"
Ole Miss Rebels,2013,SEC,82,8,5,14.1,25,"60,218"
Ole Miss Rebels,2014,SEC,202,9,4,20.5,9,"60,218"
Ole Miss Rebels,2015,SEC,257,10,3,23.6,4,"60,218"
Ole Miss Rebels,2016,SEC,-17,5,7,11.1,29,"60,218"
Ole Miss Rebels,2017,SEC,-21,6,6,2.1,53,"60,218"
Ole Miss Rebels,2018,SEC,-27,5,7,3,58,"60,218"
Ole Miss Rebels,2019,SEC,1,4,8,5.3,46,"60,218"
Ole Miss Rebels,2020,SEC,9,5,5,6.5,35,"60,218"
Oregon Ducks,2010,PAC12,365,12,1,28.2,1,"54,000"
Oregon Ducks,2011,PAC12,300,12,2,26.4,4,"54,000"
Oregon Ducks,2012,PAC12,364,12,1,25,2,"54,000"
Oregon Ducks,2013,PAC12,325,11,2,27.2,3,"54,000"
Oregon Ducks,2014,PAC12,389,13,2,28.3,1,"54,000"
Oregon Ducks,2015,PAC12,118,9,4,14.4,23,"54,000"
Oregon Ducks,2016,PAC12,-72,4,8,3.6,61,"54,000"
Oregon Ducks,2017,PAC12,129,7,6,9.4,28,"54,000"
Oregon Ducks,2018,PAC12,129,9,4,9.9,31,"54,000"
Oregon Ducks,2019,PAC12,291,12,2,21.7,6,"54,000"
Oregon Ducks,2020,PAC12,21,4,3,14.3,17,"54,000"
Oregon State Beavers,2010,PAC12,-29,5,7,8.7,37,"45,674"
Oregon State Beavers,2011,PAC12,-108,3,9,1.7,62,"45,674"
Oregon State Beavers,2012,PAC12,155,9,4,14.7,20,"45,674"
Oregon State Beavers,2013,PAC12,44,7,6,12.8,27,"45,674"
Oregon State Beavers,2014,PAC12,-71,5,7,3.2,61,"45,674"
Oregon State Beavers,2015,PAC12,-216,2,10,-8,97,"45,674"
Oregon State Beavers,2016,PAC12,-52,4,8,0,71,"45,674"
Oregon State Beavers,2017,PAC12,-268,1,11,-12.7,108,"45,674"
Oregon State Beavers,2018,PAC12,-233,2,10,-12.4,104,"45,674"
Oregon State Beavers,2019,PAC12,-16,5,7,0.8,60,"45,674"
Oregon State Beavers,2020,PAC12,-29,2,5,1.2,64,"45,674"
Pittsburgh Panthers,2013,ACC,-11,7,6,5.3,54,"65,500"
Pittsburgh Panthers,2014,ACC,107,6,7,7.2,45,"65,500"
Pittsburgh Panthers,2015,ACC,72,8,5,8.4,45,"65,500"
Pittsburgh Panthers,2016,ACC,105,8,5,12.7,25,"65,500"
Pittsburgh Panthers,2017,ACC,-32,5,7,1.8,57,"65,500"
Pittsburgh Panthers,2018,ACC,-18,7,7,4.8,49,"65,500"
Pittsburgh Panthers,2019,ACC,13,8,5,0.3,61,"65,500"
Pittsburgh Panthers,2020,ACC,49,6,5,5.5,41,"65,500"
South Carolina Gamecocks,2010,SEC,109,9,5,16.6,15,"80,250"
South Carolina Gamecocks,2011,SEC,152,11,2,14.6,18,"80,250"
South Carolina Gamecocks,2012,SEC,173,11,2,19.2,11,"80,250"
South Carolina Gamecocks,2013,SEC,179,11,2,20.7,10,"80,250"
South Carolina Gamecocks,2014,SEC,50,7,6,11.4,33,"80,250"
South Carolina Gamecocks,2015,SEC,-67,3,9,4.3,64,"80,250"
South Carolina Gamecocks,2016,SEC,-28,6,7,-0.3,72,"80,250"
South Carolina Gamecocks,2017,SEC,65,9,4,7.4,34,"80,250"
South Carolina Gamecocks,2018,SEC,65,7,6,8.3,35,"80,250"
South Carolina Gamecocks,2019,SEC,-44,4,8,6.9,41,"80,250"
South Carolina Gamecocks,2020,SEC,-125,2,8,-1.7,79,"80,250"
Stanford Cardinal,2010,PAC12,292,12,1,24.2,6,"50,000"
Stanford Cardinal,2011,PAC12,276,11,2,24.4,5,"50,000"
Stanford Cardinal,2012,PAC12,149,12,2,18.5,13,"50,000"
Stanford Cardinal,2013,PAC12,186,11,3,23.5,5,"50,000"
Stanford Cardinal,2014,PAC12,161,8,5,19.2,12,"50,000"
Stanford Cardinal,2015,PAC12,229,12,2,21.4,7,"50,000"
Stanford Cardinal,2016,PAC12,100,10,3,14.3,18,"50,000"
Stanford Cardinal,2017,PAC12,174,9,5,15.8,13,"50,000"
Stanford Cardinal,2018,PAC12,84,9,4,13,21,"50,000"
Stanford Cardinal,2019,PAC12,-98,4,8,0.9,59,"50,000"
Stanford Cardinal,2020,PAC12,-14,4,2,6.8,34,"50,000"
Syracuse Orange,2013,ACC,-35,7,6,-0.5,70,"49,250"
Syracuse Orange,2014,ACC,-87,3,9,-0.8,73,"49,250"
Syracuse Orange,2015,ACC,-45,4,8,0.1,80,"49,250"
Syracuse Orange,2016,ACC,-155,4,8,-2.7,81,"49,250"
Syracuse Orange,2017,ACC,-57,4,8,0.7,64,"49,250"
Syracuse Orange,2018,ACC,190,10,3,10.8,28,"49,250"
Syracuse Orange,2019,ACC,-29,5,7,-1.6,71,"49,250"
Syracuse Orange,2020,ACC,-164,1,10,-8.5,104,"49,250"
TCU Horned Frogs,2012,BIG12,74,7,6,11.1,25,"45,000"
TCU Horned Frogs,2013,BIG12,-2,4,8,8.7,44,"45,000"
TCU Horned Frogs,2014,BIG12,360,12,1,26.1,3,"45,000"
TCU Horned Frogs,2015,BIG12,234,11,2,20.5,10,"45,000"
TCU Horned Frogs,2016,BIG12,70,6,7,9.6,34,"45,000"
